,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
19096,894,52615,163,b'GALAXY',b'',0.1231369,217.1183,42.00964,12.53867,86.52838,8.528179,31.05041,22.40042,-27.95465,-11.5824
19097,895,52581,371,b'GALAXY',b'STARFORMING',0.0671094,343.3205,76.1248,48.42993,94.01046,10.23513,64.58311,43.77642,-32.16699,-8.951389
19098,896,52592,383,b'GALAXY',b'STARFORMING',0.08690936,119.715,27.98678,31.09472,69.78944,10.56935,49.02795,41.61562,-8.188457,-4.722152
19099,896,52592,396,b'GALAXY',b'STARFORMING',0.08617292,94.53765,23.10154,19.72036,27.46101,7.223822,22.90347,17.46894,-19.83672,-5.292083
19100,897,52605,73,b'GALAXY',b'STARFORMING',0.05527477,1205.648,282.8203,63.85783,484.5378,23.66696,168.6696,118.8084,-24.81384,-9.971858
19101,897,52605,145,b'GALAXY',b'STARBURST',0.07055484,585.3832,125.6892,30.7759,207.0421,12.71535,91.56227,69.55668,-44.08411,-15.67744
19102,897,52605,395,b'GALAXY',b'STARFORMING',0.07094019,176.4697,32.98978,17.29789,75.22598,9.445775,33.66178,19.70761,-10.09011,-4.256153
19103,897,52605,440,b'GALAXY',b'STARFORMING',0.0531648,175.3763,46.47974,24.08129,57.34832,10.08556,39.53557,27.40498,-19.51209,-6.076416
19104,898,52606,70,b'GALAXY',b'STARFORMING',0.03321157,453.7497,133.0394,69.38589,123.0458,14.97282,97.75572,68.75079,-34.2759,-9.550028
19105,898,52606,204,b'GALAXY',b'STARFORMING',0.04974624,338.9602,98.49055,45.3339,129.934,10.01991,80.72871,57.36731,-21.13768,-8.1291
19106,899,52620,238,b'GALAXY',b'STARBURST',0.05058207,325.3327,82.03783,64.94955,83.95616,12.19876,66.71564,41.19436,-43.49738,-11.03999
